number,caller_id,opened_by,contact_type,location,category,subcategory,u_symptom,impact,urgency,priority,assignment_group,assigned_to,u_priority_confirmation,duracion_horas
INC0016125,Caller 4051,Opened by  17,Phone,Location 51,Category 42,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,0.8
INC0015549,Caller 2288,Opened by  17,Phone,Location 162,Category 26,Subcategory 175,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 17,False,25.85
INC0006661,Caller 4288,Opened by  253,Phone,Location 51,Category 46,Subcategory 259,Symptom 221,2 - Medium,2 - Medium,3 - Moderate,Group 6,Resolver 176,False,556.5833333333334
INC0007407,Caller 3393,Opened by  17,Phone,Location 204,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 31,True,528.55
INC0015278,Caller 4020,Opened by  62,Phone,Location 93,Category 53,Subcategory 287,No reportado,1 - High,2 - Medium,2 - High,No asignado,Resolver 17,False,31.583333333333332
INC0016119,Caller 99,Opened by  512,Phone,Location 51,Category 19,Subcategory 174,Symptom 491,3 - Low,3 - Low,4 - Low,Group 31,Resolver 239,False,1.0666666666666667
INC0004959,Caller 3515,Opened by  423,Phone,Location 51,Category 46,Subcategory 150,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 10,Resolver 200,False,674.0333333333333
INC0016190,Caller 2508,Opened by  536,Phone,Location 161,Category 20,Subcategory 125,Symptom 208,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 253,True,0.08333333333333333
INC0016187,Caller 1362,Opened by  17,Phone,Location 108,Category 32,Subcategory 9,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,0.18333333333333332
INC0011788,Caller 425,Opened by  24,Phone,Location 143,Category 57,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 126,False,222.6
INC0016191,Caller 4732,Opened by  55,Phone,Location 93,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 215,True,0.15
INC0013884,Caller 3737,Opened by  24,Phone,Location 93,Category 26,Subcategory 164,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,127.51666666666667
INC0007385,Caller 3779,Opened by  364,Phone,Location 51,Category 44,Subcategory 60,Symptom 259,2 - Medium,2 - Medium,3 - Moderate,Group 5,Resolver 176,False,529.4
INC0014656,Caller 4556,Opened by  62,Phone,Location 51,Category 37,Subcategory 135,Symptom 495,2 - Medium,2 - Medium,3 - Moderate,Group 30,Resolver 201,True,55.78333333333333
INC0015500,Caller 2283,Opened by  191,Phone,Location 204,Category 46,Subcategory 247,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 57,Resolver 101,True,27.7
INC0016145,Caller 5519,Opened by  17,Phone,Location 143,Category 26,Subcategory 164,Symptom 420,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,1.0666666666666667
INC0016088,Caller 5402,Opened by  17,Phone,Location 93,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,1.75
INC0016162,Caller 503,Opened by  108,Phone,Location 43,Category 13,Subcategory 302,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 69,False,1.1166666666666667
INC0016210,Caller 3099,Opened by  17,Phone,Location 204,Category 26,Subcategory 275,Symptom 54,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 126,True,0.45
INC0016165,Caller 2188,Opened by  108,Phone,Location 204,Category 26,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,1.2
INC0016034,Caller 1057,Opened by  17,Phone,Location 161,Category 61,Subcategory 164,Symptom 114,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 126,True,2.9
INC0016232,Caller 3780,Opened by  24,Phone,Location 93,Category 46,Subcategory 223,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 33,False,0.2833333333333333
INC0010169,Caller 2362,Opened by  108,Phone,Location 143,Category 46,Subcategory 223,Symptom 592,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 155,False,360.96666666666664
INC0016198,Caller 3864,Opened by  221,Phone,Location 93,Category 44,Subcategory 60,Symptom 259,2 - Medium,2 - Medium,3 - Moderate,Group 5,Resolver 237,True,0.85
INC0011901,Caller 793,Opened by  501,Phone,Location 204,Category 42,Subcategory 183,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 233,False,222.18333333333334
INC0015580,Caller 350,Opened by  17,Phone,Location 93,Category 34,Subcategory 154,Symptom 102,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 215,True,26.333333333333332
INC0016240,Caller 5161,Opened by  24,Phone,Location 204,Category 46,Subcategory 223,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 33,True,0.05
INC0009150,Caller 4397,Opened by  443,Phone,Location 143,Category 46,Subcategory 223,No reportado,1 - High,1 - High,1 - Critical,Group 57,Resolver 155,True,400.75
INC0016242,Caller 3527,Opened by  17,Phone,Location 204,Category 9,Subcategory 202,Symptom 70,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.23333333333333334
INC0016233,Caller 4531,Opened by  17,Phone,Location 93,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,0.7833333333333333
INC0016243,Caller 5028,Opened by  24,Phone,Location 51,Category 53,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 17,False,0.2
INC0016101,Caller 4175,Opened by  17,Phone,Location 204,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,False,2.8
INC0016238,Caller 4893,Opened by  58,Phone,Location 204,Category 43,Subcategory 107,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 22,Resolver 194,False,0.7
INC0016076,Caller 76,Opened by  108,Phone,Location 173,Category 43,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,True,3.2666666666666666
INC0016123,Caller 2677,Opened by  255,Phone,Location 5,Category 42,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 99,False,2.8
INC0015865,Caller 2144,Opened by  17,Phone,Location 83,Category 26,Subcategory 175,Symptom 375,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,8.116666666666667
INC0014219,Caller 2935,Opened by  62,Phone,Location 204,Category 26,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 33,False,123.5
INC0006049,Caller 5071,Opened by  59,Phone,Location 204,Category 46,Subcategory 88,Symptom 352,2 - Medium,2 - Medium,3 - Moderate,Group 31,Resolver 182,True,629.1166666666667
INC0016256,Caller 4764,Opened by  58,Phone,Location 161,Category 46,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.16666666666666666
INC0016254,Caller 3990,Opened by  305,Phone,Location 51,Category 44,Subcategory 60,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 5,Resolver 150,False,0.5666666666666667
INC0016261,Caller 871,Opened by  305,Phone,Location 143,Category 42,Subcategory 223,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 150,False,0.06666666666666667
INC0016264,Caller 1288,Opened by  58,Phone,Location 108,Category 46,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 30,True,0.2
INC0016043,Caller 4166,Opened by  403,Phone,Location 51,Category 46,Subcategory 220,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 66,No asignado,False,6.416666666666667
INC0016269,Caller 225,Opened by  305,Phone,Location 204,Category 26,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 150,False,0.03333333333333333
INC0016272,Caller 1559,Opened by  58,Phone,Location 161,Category 46,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 30,True,0.11666666666666667
INC0016276,Caller 4797,Opened by  305,Phone,Location 204,Category 37,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 150,True,0.2
INC0016251,Caller 1182,Opened by  305,Phone,Location 93,Category 26,Subcategory 175,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,4.733333333333333
INC0014783,Caller 4448,Opened by  501,Phone,Location 108,Category 46,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 233,False,60.583333333333336
INC0016270,Caller 3867,Opened by  58,Phone,Location 161,Category 46,Subcategory 251,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,1.8833333333333333
INC0016273,Caller 4037,Opened by  305,Phone,Location 161,Category 28,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,1.15
INC0016283,Caller 2925,Opened by  463,Phone,Location 161,Category 9,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 218,False,0.16666666666666666
INC0016286,Caller 90,Opened by  8,Phone,Location 188,Category 28,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,False,0.016666666666666666
INC0010951,Caller 1586,Opened by  390,Phone,Location 108,Category 43,Subcategory 107,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,326.8333333333333
INC0016287,Caller 1269,Opened by  94,Phone,Location 179,Category 57,Subcategory 170,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 47,False,0.16666666666666666
INC0016259,Caller 3677,Opened by  58,Phone,Location 204,Category 28,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 66,No asignado,False,5.25
INC0013655,Caller 2246,Opened by  17,Phone,Location 161,Category 26,Subcategory 175,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 191,True,153.71666666666667
INC0016290,Caller 2848,Opened by  463,Phone,Location 51,Category 46,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.25
INC0015731,Caller 1517,Opened by  17,Phone,Location 143,Category 42,Subcategory 223,Symptom 66,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 218,False,18.316666666666666
INC0016280,Caller 2484,Opened by  8,Phone,Location 204,Category 35,Subcategory 28,Symptom 506,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,True,1.8
INC0012914,Caller 701,Opened by  17,Phone,Location 161,Category 53,Subcategory 114,Symptom 296,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,184.6
INC0016140,Caller 3446,Opened by  24,Phone,Location 93,Category 43,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 17,False,10.716666666666667
INC0016135,Caller 3081,Opened by  24,Phone,Location 161,Category 26,Subcategory 275,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 17,True,11.316666666666666
INC0014629,Caller 2644,Opened by  24,Phone,Location 143,Category 26,Subcategory 275,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 187,False,67.08333333333333
INC0011730,Caller 3527,Opened by  24,Phone,Location 204,Category 26,Subcategory 175,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 17,False,235.2
INC0016297,Caller 3567,Opened by  8,Phone,Location 161,Category 32,Subcategory 9,Symptom 105,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,True,0.2
INC0016299,Caller 2759,Opened by  397,Phone,Location 161,Category 32,Subcategory 9,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 191,True,0.08333333333333333
INC0016296,Caller 2837,Opened by  463,Phone,Location 161,Category 46,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 218,True,0.6
INC0013347,Caller 318,Opened by  24,Phone,Location 93,Category 57,Subcategory 185,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 54,No asignado,False,164.41666666666666
INC0016298,Caller 5490,Opened by  8,Phone,Location 143,Category 23,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,True,0.9333333333333333
INC0016302,Caller 1904,Opened by  180,Phone,Location 188,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,True,0.05
INC0016303,Caller 1904,Opened by  180,Phone,Location 188,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,True,0.03333333333333333
INC0016304,Caller 1904,Opened by  180,Phone,Location 188,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,True,0.11666666666666667
INC0012290,Caller 3214,Opened by  501,Phone,Location 204,Category 34,Subcategory 181,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 13,False,214.78333333333333
INC0012245,Caller 3485,Opened by  463,Phone,Location 204,Category 20,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,223.78333333333333
INC0016309,Caller 1517,Opened by  17,Phone,Location 143,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,0.03333333333333333
INC0016267,Caller 1531,Opened by  239,Phone,Location 204,Category 46,Subcategory 223,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 58,Resolver 76,False,10.316666666666666
INC0012238,Caller 4805,Opened by  47,Phone,Location 204,Category 17,Subcategory 90,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 13,False,226.08333333333334
INC0014314,Caller 3853,Opened by  17,Phone,Location 51,Category 44,Subcategory 64,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 5,Resolver 176,False,134.35
INC0016316,Caller 5377,Opened by  131,Phone,Location 204,Category 42,Subcategory 223,Symptom 534,3 - Low,3 - Low,4 - Low,Group 70,No asignado,False,0.06666666666666667
INC0012017,Caller 5101,Opened by  55,Phone,Location 161,Category 20,Subcategory 103,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 76,Resolver 13,False,234.31666666666666
INC0013893,Caller 2368,Opened by  317,Phone,Location 216,Category 46,Subcategory 231,Symptom 211,2 - Medium,2 - Medium,3 - Moderate,Group 37,Resolver 153,True,142.95
INC0015687,Caller 5419,Opened by  47,Phone,Location 46,Category 44,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 194,False,35.0
INC0006270,Caller 68,Opened by  8,Phone,Location 46,Category 42,Subcategory 29,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 153,False,621.3333333333334
INC0016255,Caller 3743,Opened by  47,Phone,Location 82,Category 42,Subcategory 223,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 236,False,13.383333333333333
INC0016017,Caller 3892,Opened by  108,Phone,Location 204,Category 46,Subcategory 223,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,True,18.183333333333334
INC0016324,Caller 867,Opened by  17,Phone,Location 204,Category 9,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.15
INC0014927,Caller 4556,Opened by  40,Phone,Location 51,Category 37,Subcategory 135,Symptom 118,2 - Medium,2 - Medium,3 - Moderate,Group 44,Resolver 82,False,66.61666666666666
INC0016239,Caller 5031,Opened by  486,Phone,Location 223,Category 23,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 229,True,14.866666666666667
INC0015167,Caller 489,Opened by  8,Phone,Location 108,Category 20,Subcategory 103,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 111,True,54.983333333333334
INC0016320,Caller 1536,Opened by  131,Phone,Location 161,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 73,True,0.2833333333333333
INC0015997,Caller 2967,Opened by  17,Phone,Location 161,Category 37,Subcategory 123,Symptom 118,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,False,18.833333333333332
INC0013864,Caller 4638,Opened by  8,Phone,Location 204,Category 19,Subcategory 163,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 227,False,143.6
INC0016331,Caller 5624,Opened by  24,Phone,Location 161,Category 20,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,True,0.1
INC0015944,Caller 5466,Opened by  17,Phone,Location 204,Category 19,Subcategory 163,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 227,False,20.15
INC0015949,Caller 3354,Opened by  62,Phone,Location 108,Category 51,Subcategory 6,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,No asignado,False,20.1
INC0016323,Caller 4725,Opened by  17,Phone,Location 161,Category 57,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,0.4
INC0016205,Caller 2525,Opened by  242,Phone,Location 188,Category 42,Subcategory 223,Symptom 532,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,False,16.05
INC0014095,Caller 3354,Opened by  17,Phone,Location 108,Category 26,Subcategory 175,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 17,True,139.68333333333334
INC0016346,Caller 3182,Opened by  24,Phone,Location 43,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 17,True,0.03333333333333333
INC0016335,Caller 3764,Opened by  131,Phone,Location 161,Category 26,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 73,True,0.38333333333333336
INC0013046,Caller 61,Opened by  500,Phone,Location 204,Category 37,Subcategory 123,Symptom 127,3 - Low,3 - Low,4 - Low,Group 25,Resolver 57,True,187.93333333333334
INC0014267,Caller 5085,Opened by  108,Phone,Location 55,Category 26,Subcategory 175,Symptom 120,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,136.36666666666667
INC0016344,Caller 5372,Opened by  17,Phone,Location 108,Category 20,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,0.25
INC0010168,Caller 3044,Opened by  17,Phone,Location 111,Category 23,Subcategory 174,Symptom 491,3 - Low,3 - Low,4 - Low,Group 25,Resolver 57,False,376.6166666666667
INC0012648,Caller 4237,Opened by  412,Phone,Location 204,Category 24,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 57,False,209.8
INC0015241,Caller 5433,Opened by  17,Phone,Location 204,Category 23,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 125,False,48.63333333333333
INC0016348,Caller 744,Opened by  62,Phone,Location 161,Category 53,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,False,0.3333333333333333
INC0016362,Caller 4417,Opened by  17,Phone,Location 204,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,0.15
INC0015708,Caller 3347,Opened by  397,Phone,Location 204,Category 37,Subcategory 285,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 46,Resolver 83,False,27.7
INC0016364,Caller 1245,Opened by  17,Phone,Location 54,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,0.15
INC0016360,Caller 2266,Opened by  131,Phone,Location 129,Category 37,Subcategory 135,Symptom 87,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 73,False,0.23333333333333334
INC0015831,Caller 2437,Opened by  230,Phone,Location 51,Category 57,Subcategory 170,Symptom 296,3 - Low,3 - Low,4 - Low,Group 65,Resolver 2,False,23.633333333333333
INC0016376,Caller 1024,Opened by  24,Phone,Location 108,Category 26,Subcategory 175,Symptom 116,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,True,0.05
INC0016370,Caller 2891,Opened by  17,Phone,Location 108,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,0.15
INC0016340,Caller 488,Opened by  17,Phone,Location 108,Category 9,Subcategory 202,Symptom 70,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 34,False,0.65
INC0015674,Caller 3561,Opened by  305,Phone,Location 93,Category 26,Subcategory 275,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 224,False,38.7
INC0016378,Caller 1504,Opened by  301,Phone,Location 204,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 149,False,0.11666666666666667
INC0015328,Caller 1236,Opened by  17,Phone,Location 51,Category 26,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 201,False,47.916666666666664
INC0013207,Caller 4159,Opened by  500,Phone,Location 204,Category 46,Subcategory 220,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 66,Resolver 193,True,185.33333333333334
INC0016350,Caller 1082,Opened by  131,Phone,Location 93,Category 32,Subcategory 9,Symptom 491,3 - Low,3 - Low,4 - Low,Group 70,Resolver 73,False,0.6166666666666667
INC0015964,Caller 3215,Opened by  247,Phone,Location 229,Category 57,Subcategory 270,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 34,Resolver 159,True,20.7
INC0016113,Caller 3215,Opened by  247,Phone,Location 229,Category 57,Subcategory 270,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 34,Resolver 159,True,18.15
INC0016391,Caller 2807,Opened by  17,Phone,Location 143,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,0.16666666666666666
INC0013447,Caller 1236,Opened by  17,Phone,Location 51,Category 46,Subcategory 245,Symptom 266,2 - Medium,1 - High,2 - High,Group 57,Resolver 200,False,166.96666666666667
INC0016392,Caller 474,Opened by  17,Phone,Location 14,Category 23,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 20,No asignado,False,0.15
INC0016334,Caller 3768,Opened by  501,Phone,Location 51,Category 43,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,False,1.1333333333333333
INC0016397,Caller 1386,Opened by  17,Phone,Location 143,Category 46,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.11666666666666667
INC0016402,Caller 1904,Opened by  180,Phone,Location 188,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,False,0.05
INC0016277,Caller 2896,Opened by  58,Phone,Location 161,Category 37,Subcategory 135,Symptom 301,2 - Medium,2 - Medium,3 - Moderate,Group 49,Resolver 120,True,10.766666666666667
INC0016368,Caller 5557,Opened by  40,Phone,Location 204,Category 37,Subcategory 135,Symptom 87,2 - Medium,2 - Medium,3 - Moderate,Group 46,Resolver 83,False,0.5333333333333333
INC0015962,Caller 4246,Opened by  247,Phone,Location 232,Category 57,Subcategory 270,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 34,Resolver 159,True,20.966666666666665
INC0014879,Caller 4124,Opened by  17,Phone,Location 165,Category 34,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 24,False,69.2
INC0015920,Caller 1572,Opened by  17,Phone,Location 135,Category 9,Subcategory 202,Symptom 70,2 - Medium,2 - Medium,3 - Moderate,Group 29,Resolver 24,False,22.25
INC0015805,Caller 3730,Opened by  17,Phone,Location 210,Category 26,Subcategory 175,Symptom 571,2 - Medium,2 - Medium,3 - Moderate,Group 25,No asignado,False,24.5
INC0016399,Caller 227,Opened by  17,Phone,Location 173,Category 28,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,0.18333333333333332
INC0016371,Caller 4246,Opened by  247,Phone,Location 232,Category 57,Subcategory 270,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 34,Resolver 159,True,0.6833333333333333
INC0016408,Caller 1016,Opened by  62,Phone,Location 93,Category 20,Subcategory 125,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 33,False,0.21666666666666667
INC0015533,Caller 2333,Opened by  403,Phone,Location 204,Category 32,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 229,True,43.766666666666666
INC0015871,Caller 147,Opened by  62,Phone,Location 161,Category 53,Subcategory 80,Symptom 296,2 - Medium,2 - Medium,3 - Moderate,Group 19,Resolver 65,False,23.483333333333334
INC0015323,Caller 608,Opened by  17,Phone,Location 204,Category 20,Subcategory 125,Symptom 208,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,False,48.45
INC0008914,Caller 3067,Opened by  397,Phone,Location 54,Category 46,Subcategory 251,Symptom 218,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,474.1166666666667
INC0016416,Caller 2812,Opened by  44,Phone,Location 161,Category 37,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 24,True,0.11666666666666667
INC0016409,Caller 1245,Opened by  17,Phone,Location 54,Category 42,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,0.3333333333333333
INC0013795,Caller 2484,Opened by  24,Phone,Location 204,Category 20,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 149,True,146.8
INC0016419,Caller 65,Opened by  131,Phone,Location 143,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 73,True,0.11666666666666667
INC0015534,Caller 249,Opened by  17,Phone,Location 204,Category 57,Subcategory 170,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 65,Resolver 7,False,44.03333333333333
INC0009960,Caller 4953,Opened by  390,Phone,Location 143,Category 26,Subcategory 175,Symptom 119,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,382.85
INC0016424,Caller 904,Opened by  44,Phone,Location 161,Category 9,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 24,True,0.16666666666666666
INC0016429,Caller 1890,Opened by  17,Phone,Location 71,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,0.1
INC0016425,Caller 1904,Opened by  180,Phone,Location 188,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,True,0.18333333333333332
INC0013135,Caller 3138,Opened by  55,Phone,Location 204,Category 20,Subcategory 103,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,No asignado,False,187.18333333333334
INC0016427,Caller 3432,Opened by  17,Phone,Location 179,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,True,0.15
INC0016415,Caller 2454,Opened by  17,Phone,Location 161,Category 53,Subcategory 303,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,False,0.35
